,LONGITUDE,TIME,LOCATION,CRIME,LATITUDE
74,-77.0438199383,day,1851 - 1875 block of columbia road nw,burglary,38.9208433787
75,-77.025736801,midnight,1900 - 1999 block of vermont avenue nw,theft f/auto,38.9162815379
76,-76.9790001052,day,2600 - 2699 block of 18th street ne,theft f/auto,38.923966587
77,-77.0194532504,midnight,500 - 599 block of florida avenue nw,theft/other,38.9152230127
78,-77.0332908446,day,1400 - 1499 block of w street nw,motor vehicle theft,38.9191803122
79,-77.0438199383,midnight,1851 - 1875 block of columbia road nw,theft/other,38.9208433787
80,-77.0398102544,day,1700 - 1799 block of rhode island avenue nw,motor vehicle theft,38.9060981653
81,-77.0041880126,midnight,100 - 149 block of florida avenue ne,theft f/auto,38.9087187345
82,-77.0074823884,midnight,1 - 99 block of m street ne,assault w/dangerous weapon,38.905636274
83,-77.0261609421,midnight,3000 - 3099 block of sherman avenue nw,robbery,38.9283284531
84,-77.0448761198,evening,1700 - 1799 block of 20th street nw,theft/other,38.9133390377
85,-77.0259525052,day,900  - 998 block of randolph street nw,theft f/auto,38.9386761573
86,-77.019377418,evening,500 - 599 block of indiana avenue nw,theft/other,38.8945726425
87,-76.9973943524,evening,1250 - 1299 block of 6th street ne,motor vehicle theft,38.9075552627
88,-76.9803906515,day,1516 - 1699 block of benning road ne,theft/other,38.8996082789
89,-77.0639958956,midnight,3200 - 3275 block of m street nw,motor vehicle theft,38.9051510928
90,-77.0307885541,evening,1300 - 1399 block of w street nw,theft/other,38.9191809983
91,-77.0427906271,evening,1800 - 1899 block of park road nw,theft/other,38.932367918
92,-77.0355469593,evening,1500 - 1599 block of q street nw,robbery,38.9111171884
93,-77.0375066283,midnight,1600 - 1699 block of p street nw,robbery,38.9096429011
94,-77.0466382012,evening,1500 - 1579 block of 21st street nw,theft/other,38.9101854285
95,-77.0795769026,day,4000 - 4099 block of brandywine street nw,theft/other,38.9496780951
96,-77.0209123942,midnight,600 - 699 block of i street nw,motor vehicle theft,38.9008602147
97,-76.970746574,evening,2421 - 2499 block of wagner street se,robbery,38.8593837951
98,-76.9509756295,evening,3806 - 3843 block of minnesota avenue ne,robbery,38.8926722048
99,-77.0856103574,evening,4310 - 4399 block of brandywine street nw,theft f/auto,38.9496828407
100,-77.0325902763,day,3000 - 3099 block of 14th street nw,theft/other,38.928171804
101,-77.0074820605,day,1 - 99 block of k street ne,burglary,38.902510376
102,-77.0229462951,evening,1900 - 1999 block of 8th street nw,theft/other,38.9161379859
103,-77.0364532557,midnight,meridian place nw and 16th street nw,robbery,38.9344299954
104,-76.9675340373,day,2721 - 2899 block of good hope road se,theft/other,38.8600550644
105,-76.9212066056,evening,5500 - 5599 block of nannie helen burroughs avenue ne,robbery,38.8983582155
106,-76.9409111652,midnight,4200 - 4299 block of clay street ne,assault w/dangerous weapon,38.8943431043
107,-77.0296181714,evening,2200 - 2299 block of 13th street nw,theft f/auto,38.9198413409
108,-76.9434040969,evening,1100 - 1199 block of 42nd street ne,theft/other,38.9051343287
109,-77.0413666724,evening,1200 - 1219 block of connecticut avenue nw,theft/other,38.9060615912
110,-77.0073750824,evening,1 - 99 block of potomac avenue se,motor vehicle theft,38.8713594074
111,-76.9860365766,evening,1300 - 1399 block of okie street ne,theft/other,38.9142116212
112,-76.9521811106,evening,600 - 632 block of barnes street ne,theft f/auto,38.8999154305
113,-77.0058639965,evening,1200 - 1299 block of 1st street se,theft f/auto,38.8755585787
114,-77.0259863335,midnight,1100 - 1199 block of 10th street nw,burglary,38.9049039473
115,-76.9855857222,midnight,1300 - 1337 block of adams street ne,burglary,38.919976898
116,-77.0365190971,midnight,1520 - 1599 block of 16th street nw,theft/other,38.9107534921
117,-76.9469648801,day,300 - 499 block of 40th street ne,theft/other,38.8933494806
118,-77.0364984941,evening,2480 - 2599 block of 16th street nw,theft/other,38.9229898757
119,-76.926832485,evening,5100 - 5299 block of astor place se,motor vehicle theft,38.8868761987
120,-77.0442385758,midnight,1900 - 1999 block of sunderland place nw,theft f/auto,38.9078982421
121,-77.0408811202,midnight,1737 - 1776 block of columbia road nw,theft/other,38.9238622318
122,-76.9855094674,evening,938 - 999 block of 14th street se,motor vehicle theft,38.8787067113
123,-76.9903059701,day,1000 - 1249 block of brentwood road ne,theft/other,38.9201570109
124,-76.9912177356,midnight,3700 - 3799 block of 12th street ne,robbery,38.9353534759
125,-77.0434527387,midnight,1100 - 1199 block of 19th street nw,motor vehicle theft,38.9047000325
126,-76.9931402028,day,900 - 999 block of rhode island avenue ne,theft/other,38.9222166046
127,-77.0127870938,midnight,4900 - 4999 block of 1st street nw,theft/other,38.9502869543
128,-76.9931402028,evening,900 - 999 block of rhode island avenue ne,theft/other,38.9222166046
129,-76.9357824978,evening,4600 - 4700 block of minnesota avenue ne,robbery,38.9067085151
130,-76.9815048376,day,1600 - 1699 block of q street se,theft f/auto,38.8707365958
131,-77.0013142178,midnight,300 - 399 block of h street ne,theft/other,38.9002044689
132,-76.9939542871,evening,5026 - 5099 block of 8th street ne,theft f/auto,38.9514844265
133,-77.0155185112,midnight,231 - 318 block of florida avenue nw,theft f/auto,38.9135464297
134,-76.9857299015,midnight,southern avenue se and 12th street se,theft f/auto,38.8333521931
135,-76.9901196379,day,1100 - 1199 block of neal street ne,motor vehicle theft,38.9050595615
136,-77.0954060605,evening,4812 - 4859 block of macarthur boulevard nw,theft/other,38.9162814571
137,-77.0219088848,day,800 - 899 block of 7th street sw,theft/other,38.8797804366
138,-77.027357803,evening,3500 - 3599 block of 10th street nw,motor vehicle theft,38.9337122643
139,-77.0385905567,midnight,3200 - 3299 block of mount pleasant street nw,theft/other,38.9318353679
140,-77.0090530223,midnight,1200 - 1499 block of north capitol street,motor vehicle theft,38.9076427724
141,-77.0214354824,evening,3800 - 3899 block of 7th street nw,theft f/auto,38.9382326037
142,-76.9584561433,day,3300 - 3399 block of clay street ne,theft/other,38.8935579251
143,-76.9839727869,day,1820 - 1899 block of fenwick street ne,motor vehicle theft,38.9134636645
144,-77.0259723521,day,5800  - 5999 block of 9th street nw,theft f/auto,38.9614941123
145,-76.9851361658,day,1300 - 1399 block of w street ne,motor vehicle theft,38.9191660923
146,-77.0025500075,day,201 - 299 block of m street ne,theft/other,38.9056459446
147,-77.0126313162,evening,100 - 199 block of kennedy street nw,theft/other,38.9565875344
148,-76.991119057,day,3600 - 3699 block of 12th street ne,theft/other,38.9340124027
149,-77.0408563583,evening,1130 - 1199 block of connecticut avenue nw,theft/other,38.905199041
150,-77.0209197405,evening,600 - 699 block of maryland avenue sw,theft/other,38.8865999657
151,-76.9776908917,day,1823 - 1899 block of d street ne,theft/other,38.8947748077
152,-77.0284576189,midnight,1200 - 1217 block of w street nw,theft f/auto,38.9191823999
153,-76.9937613603,day,2300 - 2499 block of washington place ne,theft f/auto,38.9215811022
154,-76.9847340998,midnight,1900 - 1937 block of capitol avenue ne,burglary,38.9120224324
155,-77.0270364945,day,2300 - 2499 block of 11th street nw,theft f/auto,38.9215953471
156,-76.9881014096,midnight,1300 - 1342 block of valley place se,theft/other,38.8633498372
157,-76.9795252118,day,1638 - 1699 block of k street ne,theft f/auto,38.902499813
158,-77.0251110522,evening,4000  - 4099 block of georgia avenue nw,theft/other,38.940270809
159,-77.0132552082,day,200 - 299 block of elmira street sw,theft f/auto,38.8260464475
160,-77.0299963972,evening,1300 - 1309 block of new york avenue nw,theft/other,38.900092525
161,-76.9321883331,evening,4816 - 4899 block of sheriff road ne,theft f/auto,38.9029773865
162,-77.0712837216,evening,5432 - 5499 block of chevy chase parkway nw,motor vehicle theft,38.9625832833
163,-77.0255782804,midnight,2600 - 2699 block of sherman avenue nw,assault w/dangerous weapon,38.9243980739
164,-77.051693898,day,2300 - 2399 block of kalorama road nw,robbery,38.9179484875
165,-76.9720773214,midnight,2300 - 2399 block of pennsylvania avenue se,homicide,38.8741128729
166,-77.0035164846,midnight,1300 - 1399 block of 2nd street ne,theft/other,38.9078254892
167,-76.9869186487,day,1300 - 1399 block of e street se,theft/other,38.8828356025
168,-76.9496925989,day,630 - 649 block of kenilworth terrace ne,assault w/dangerous weapon,38.8989893168
169,-76.9870721369,evening,1343 - 1399 block of valley place se,motor vehicle theft,38.8626477919
170,-77.0617125934,evening,2900 - 3049 block of van ness street nw,theft/other,38.9431541919
171,-77.0400910561,day,1700 - 1799 block of n street nw,theft f/auto,38.9072414989
